4201,,BCC3,56,,,,,,LBCC3,RORB,,SHIFT CARRY TO BIT 7; CARRY SET IF FPA0 < (X)
4202,,BCC4,D8,54,,,,,,EORB,FP0SGN,TOGGLE SIZE COMPARISON BIT IF FPA0 IS NEGATIVE
4203,,BCC6,20,AB,,,,,,BRA,LBC73,GO SET ACCB ACCORDING TO COMPARISON
4204,,,,,,,,,* DE-NORMALIZE FPA0 : SHIFT THE MANTISSA UNTIL THE BINARY POINT IS TO THE RIGHT,,,
4205,,,,,,,,,* OF THE LEAST SIGNIFICANT BYTE OF THE MANTISSA,,,
4206,,BCC8,D6,4F,,,,,LBCC8,LDB,FP0EXP,GET EXPONENT OF FPA0
4207,,BCCA,27,3D,,,,,,BEQ,LBD09,ZERO MANTISSA IF FPA0 = 0
4208,,BCCC,C0,A0,,,,,,SUBB,#$A0,SUBTRACT $A0 FROM FPA0 EXPONENT T THIS WILL YIELD
4209,,,,,,,,,*,,,THE NUMBER OF SHIFTS REQUIRED TO DENORMALIZE FPA0. WHEN
4210,,,,,,,,,*,,,"THE EXPONENT OF FPA0 IS = ZERO, THEN THE BINARY POINT"
4211,,,,,,,,,*,,,WILL BE TO THE RIGHT OF THE MANTISSA
4212,,BCCE,96,54,,,,,,LDA,FP0SGN,TEST SIGN OF FPA0 MANTISSA
4213,,BCD0,2A,05,,,,,,BPL,LBCD7,BRANCH IF POSITIVE
4214,,BCD2,03,5B,,,,,,COM,FPCARY,COMPLEMENT CARRY IN BYTE
4215,,BCD4,BD,BA,7B,,,,,JSR,LBA7B,NEGATE MANTISSA OF FPA0
4216,,BCD7,8E,00,4F,,,,LBCD7,LDX,#FP0EXP,POINT X TO FPA0
4217,,BCDA,C1,F8,,,,,,CMPB,#-8,EXPONENT DIFFERENCE < -8?
4218,,BCDC,2E,06,,,,,,BGT,LBCE4,YES
4219,,BCDE,BD,BA,AE,,,,,JSR,LBAAE,SHIFT FPA0 RIGHT UNTIL FPA0 EXPONENT = $A0
4220,,BCE1,0F,5B,,,,,,CLR,FPCARY,CLEAR CARRY IN BYTE
4221,,BCE3,39,,,,,,,RTS,,
4222,,BCE4,0F,5B,,,,,LBCE4,CLR,FPCARY,CLEAR CARRY IN BYTE
4223,,BCE6,96,54,,,,,,LDA,FP0SGN,* GET SIGN OF FPA0 MANTISSA
4224,,BCE8,49,,,,,,,ROLA,,* ROTATE IT INTO THE CARRY FLAG
4225,,BCE9,06,50,,,,,,ROR,FPA0,ROTATE CARRY (MANTISSA SIGN) INTO BIT 7
4226,,,,,,,,,*,,,OF LS BYTE OF MANTISSA
4227,,BCEB,7E,BA,BA,,,,,JMP,LBABA,DE-NORMALIZE FPA0
4228,,,,,,,,,,,,
4229,,,,,,,,,* INT,,,
4230,,,,,,,,,"* THE INT STATEMENT WILL ""DENORMALIZE"" FPA0 - THAT IS IT WILL SHIFT THE BINARY POINT",,,
4231,,,,,,,,,* TO THE EXTREME RIGHT OF THE MANTISSA TO FORCE ITS EXPONENT TO BE $AO. ONCE,,,
4232,,,,,,,,,* THIS IS DONE THE MANTISSA OF FPA0 WILL CONTAIN THE FOUR LEAST SIGNIFICANT,,,
4233,,,,,,,,,* BYTES OF THE INTEGER PORTION OF FPA0. AT THE CONCLUSION OF THE DE-NORMALIZATION,,,
4234,,,,,,,,,* ONLY THE INTEGER PORTION OF FPA0 WILL REMAIN.,,,
4235,,,,,,,,,*,,,
4236,,BCEE,D6,4F,,,,,INT,LDB,FP0EXP,GET EXPONENT OF FPA0
4237,,BCF0,C1,A0,,,,,,CMPB,#$A0,LARGEST POSSIBLE INTEGER EXPONENT
4238,,BCF2,24,1D,,,,,,BCC,LBD11,RETURN IF FPA0 >= 32768
4239,,BCF4,8D,D2,,,,,,BSR,LBCC8,SHIFT THE BINARY POINT ONE TO THE RIGHT OF THE
4240,,,,,,,,,*,,,LS BYTE OF THE FPA0 MANTISSA
4241,,BCF6,D7,63,,,,,,STB,FPSBYT,ACCB = 0: ZERO OUT THE SUB BYTE
4242,,BCF8,96,54,,,,,,LDA,FP0SGN,GET MANTISSA SIGN
4243,,BCFA,D7,54,,,,,,STB,FP0SGN,FORCE MANTISSA SIGN TO BE POSITIVE
4244,,BCFC,80,80,,,,,,SUBA,#$80,SET CARRY IF MANTISSA
4245,,BCFE,86,A0,,,,,,LDA,#$A0,* GET DENORMALIZED EXPONENT AND
4246,,BD00,97,4F,,,,,,STA,FP0EXP,* SAVE IT IN FPA0 EXPONENT
4247,,BD02,96,53,,,,,,LDA,FPA0+3,= GET LS BYTE OF FPA0 AND
4248,,BD04,97,01,,,,,,STA,CHARAC,= SAVE IT IN CHARAC
4249,,BD06,7E,BA,18,,,,,JMP,LBA18,NORMALIZE FPA0
4250,,,,,,,,,,,,
4251,,BD09,D7,50,,,,,LBD09,STB,FPA0,* LOAD MANTISSA OF FPA0 WITH CONTENTS OF ACCB
4252,,BD0B,D7,51,,,,,,STB,FPA0+1,*
4253,,BD0D,D7,52,,,,,,STB,FPA0+2,*
4254,,BD0F,D7,53,,,,,,STB,FPA0+3,*
4255,,BD11,39,,,,,,LBD11,RTS,,*
4256,,,,,,,,,,,,
4257,,,,,,,,,* CONVERT ASCII STRING TO FLOATING POINT,,,
4258,,BD12,9E,8A,,,,,LBD12,LDX,ZERO,(X) = 0
4259,,BD14,9F,54,,,,,,STX,FP0SGN,* ZERO OUT FPA0 & THE SIGN FLAG (COEFCT)
4260,,BD16,9F,4F,,,,,,STX,FP0EXP,*
4261,,BD18,9F,51,,,,,,STX,FPA0+1,*
4262,,BD1A,9F,52,,,,,,STX,FPA0+2,*
4263,,BD1C,9F,47,,,,,,STX,V47,INITIALIZE EXPONENT & EXPONENT SIGN FLAG TO ZERO
4264,,BD1E,9F,45,,,,,,STX,V45,INITIALIZE RIGHT DECIMAL CTR & DECIMAL PT FLAG TO 0
4265,,BD20,25,64,,,,,,BCS,LBD86,"IF CARRY SET (NUMERIC CHARACTER), ASSUME ACCA CONTAINS FIRST"
4266,,,,,,,,,*,,,"NUMERIC CHAR, SIGN IS POSITIVE AND SKIP THE RAM HOOK"
4267,,BD22,BD,01,97,,,,,JSR,RVEC19,HOOK INTO RAM
4268,,BD25,81,2D,,,,,,CMPA,#'-,* CHECK FOR A LEADING MINUS SIGN AND BRANCH
4269,,BD27,26,04,,,,,,BNE,LBD2D,* IF NO MINUS SIGN
4270,,BD29,03,55,,,,,,COM,COEFCT,TOGGLE SIGN; 0 = +; FF = -
