0601,,E08B,A6,80,,,,,LE08B,LDA,",X+",GET A BYTE
0602,,E08D,A7,A0,,,,,,STA,",Y+",AND STICK IT INTO THE VIDEO MODE REGISTER
0603,,E08F,10,8C,FF,A0,,,,CMPY,#MMUREG,END OF THE VIDEO MODE REGISTERS?
0604,,E093,25,F6,,,,,,BCS,LE08B,NO - KEEP STUFFING REGISTERS
0605,,E095,35,B2,,,,,,PULS,"A,X,Y,PC",
0606,,,,,,,,,,,,
0607,,,,,,,,,* PROGRAM THE MMU REGISTERS; ENTER WITH X POINTING TO THE DATA TO PLACE INTO THE MMU REGISTERS,,,
0608,,E097,34,36,,,,,SETMMU,PSHS,"Y,X,B,A",
0609,,E099,30,8D,00,44,,,,LEAX,"IM.MMU,PC",POINT TO THE RAM IMAGE OF THE MMU REGISTERS
0610,,E09D,8D,52,,,,,,BSR,LE0F1,MOVE 16 BYTES INTO THE MMU REGISTERS
0611,,E09F,35,B6,,,,,,PULS,"A,B,X,Y,PC",
0612,,,,,,,,,,,,
0613,,,,,,,,,* PLACE A BLOCK INTO LOGICAL ADDRESS SPACE BLOCK 0.,,,
0614,,,,,,,,,* ENTER WITH ACCB CONTAINING THE BLOCK NUMBER TO BE PLACED INTO THE LOGICAL ADDRESS SPACE,,,
0615,,,,,,,,,* EXIT WITH BLOCK 7.0 REPLACED IN BLOCK 0 OF THE LOGICAL ADDRESS SPACE RAM IMAGE,,,
0616,,E0A1,34,36,,,,,SELBLOK0,PSHS,"Y,X,B,A",
0617,,E0A3,30,8D,00,3A,,,,LEAX,"IM.MMU,PC",POINT TO THE RAM IMAGE OF THE MMU REGISTERS
0618,,E0A7,34,10,,,,,,PSHS,X,TEMP SAVE
0619,,E0A9,E7,84,,,,,,STB,",X",SAVE THE NEW BLOCK NUMBER IN LOGICAL ADDRESS SPACE BLOCK 0 (TR0)
0620,,E0AB,8D,44,,,,,,BSR,LE0F1,COPY THE RAM IMAGE OF THE MMU REGISTERS INTO THE MMU REGISTERS
0621,,E0AD,C6,38,,,,,,LDB,#BLOCK7.0,GET BLOCK 7.0
0622,,E0AF,35,10,,,,,,PULS,X,RESTORE THE MMU IMAGE POINTER
0623,,E0B1,E7,84,,,,,,STB,",X",RESTORE BLOCK 7.0 TO BLOCK 0 OF MMU RAM IMAGE
0624,,E0B3,35,B6,,,,,,PULS,"A,B,X,Y,PC",
0625,,,,,,,,,,,,
0626,,,,,,,,,* PLACE THE HI-RES TEXT SCREEN INTO LOGICAL ADDRESS SPACE BLOCK 1,,,
0627,,,,,,,,,* EXIT WITH BLOCK 7.1 REPLACED INTO BLOCK 1 OF THE LOGICAL ADDRESS SPACE RAM IMAGE,,,
0628,,E0B5,34,36,,,,,SELTEXT,PSHS,"Y,X,B,A",
0629,,E0B7,30,8D,00,26,,,,LEAX,"IM.MMU,PC",POINT TO THE RAM IMAGE OF THE MMU REGISTERS
0630,,E0BB,34,10,,,,,,PSHS,X,TEMP SAVE
0631,,E0BD,C6,36,,,,,,LDB,#BLOCK6.6,GET THE BLOCK WHICH CONTAINS THE HI-RES TEXT SCREEN
0632,,E0BF,E7,01,,,,,,STB,"$01,X",AND SAVE IT IN THE MMU IMAGE OF TASK REGISTER 0
0633,,E0C1,8D,2E,,,,,,BSR,LE0F1,COPY THE RAM IMAGE OF THE MMU REGISTERS INTO THE MMU REGISTERS
0634,,E0C3,35,10,,,,,,PULS,X,RESTORE THE MMU IMAGE PONTER
0635,,E0C5,C6,39,,,,,,LDB,#BLOCK7.1,GET BLOCK 7.1 (BASIC'S NORMAL LOGICAL BLOCK 1)
0636,,E0C7,E7,01,,,,,,STB,"$01,X",AND SAVE IT IN THE MMU IMAGE
0637,,E0C9,35,B6,,,,,,PULS,"A,B,X,Y,PC",
0638,,,,,,,,,,,,
0639,,E0CB,34,36,,,,,LE0CB,PSHS,"Y,X,B,A",
0640,,E0CD,30,8D,00,10,,,,LEAX,"IM.MMU,PC",POINT TO THE MMU RAM IMAGE
0641,,E0D1,34,10,,,,,,PSHS,X,TEMP SAVE
0642,,E0D3,C6,34,,,,,,LDB,#BLOCK6.4,GET BLOCK 6.4
0643,,E0D5,E7,0E,,,,,,STB,"14,X",AND SAVE IT IN LOGICAL BLOCK 6 OF TASK REGISTER 1
