1801,,CCED,10,26,F6,43,,,,LBNE,LC334,'INPUT PAST END OF FILE’ ERROR IF NOT RANDOM
1802,,CCF1,C6,4A,,,,,LCCF1,LDB,#2*37,'WRITE/INPUT PAST END OF RECORD’ ERROR IF RANDOM
1803,,CCF3,7E,AC,46,,,,,JMP,LAC46,JUMP TO THE ERROR HANDLER
1804,,,,,,,,,,,,
1805,,CCF6,BD,A1,76,,,,LCCF6,JSR,LA176,GET A CHAR FROM INPUT BUFFER
1806,,CCF9,0D,70,,,,,,TST,CINBFL,SET FLAGS ACCORDING TO CONSOLE INPUT FLAG
1807,,CCFB,39,,,,,,LCCFB,RTS,,
1808,,,,,,,,,,,,
1809,,,,,,,,,* MOVE THE INPUT POINTER BACK ONE (DISK FILE),,,
1810,,CCFC,34,14,,,,,LCCFC,PSHS,"X,B",SAVE REGISTERS ON STACK
1811,,CCFE,BD,C7,14,,,,,JSR,LC714,POINT X TO PROPER FCB
1812,,CD01,E6,00,,,,,,LDB,"FCBTYP,X",GET FILE TYPE OF THIS FCB
1813,,CD03,C1,40,,,,,,CMPB,#RANFIL,IS IT A RANDOM FILE?
1814,,CD05,26,0B,,,,,,BNE,LCD12,BRANCH IF NOT A RANDOM FILE
1815,,CD07,EC,88,15,,,,,LDD,"FCBGET,X","*GRAB THE RANDOM FILE 'GET' POINTER,"
1816,,CD0A,83,00,01,,,,,SUBD,#$0001,*MOVE IT BACK ONE AND RESTORE IT
1817,,CD0D,ED,88,15,,,,,STD,"FCBGET,X",*
1818,,CD10,35,94,,,,,,PULS,"B,X,PC",RESTORE REGISTERS AND RETURN
1819,,CD12,A7,88,11,,,,LCD12,STA,"FCBCDT,X",SAVE THE CHARACTER IN THE CACHE
1820,,CD15,63,88,10,,,,,COM,"FCBCFL,X",SET THE CACHE FLAG TO $FF - DATA IN CACHE
1821,,CD18,35,94,,,,,,PULS,"B,X,PC",RESTORE REGISTERS AND RETURN
1822,,,,,,,,,,,,
1823,,,,,,,,,* CVN COMMAND,,,
1824,,CD1A,BD,B6,54,,,,CVN,JSR,LB654,GET LENGTH AND ADDRESS OF STRING
1825,,CD1D,C1,05,,,,,,CMPB,#$05,FIVE BYTES IN A FLOATING POINT NUMBER
1826,,CD1F,10,25,E7,27,,,,LBCS,LB44A,'FC' ERROR IF <> 5 BYTES
1827,,CD23,0F,06,,,,,,CLR,VALTYP,SET VARIABLE TYPE TO NUMERIC
1828,,CD25,7E,BC,14,,,,,JMP,LBC14,COPY A PACKED FP NUMBER FROM (X) TO FPA0
1829,,,,,,,,,,,,
1830,,,,,,,,,* MKN$ COMMAND,,,
1831,,CD28,BD,B1,43,,,,MKN,JSR,LB143,'TM' ERROR IF VALTYP=STRING
1832,,CD2B,C6,05,,,,,,LDB,#$05,FIVE BYTES IN A FLOATING POINT NUMBER
1833,,CD2D,BD,B5,0F,,,,,JSR,LB50F,RESERVE FIVE BYTES IN STRING SPACE
1834,,CD30,BD,BC,35,,,,,JSR,LBC35,PACK FPA0 AND STORE IT IN STRING SPACE
1835,,CD33,7E,B6,9B,,,,,JMP,LB69B,SAVE STRING DESCRIPTOR ON STRING STACK
1836,,,,,,,,,,,,
1837,,,,,,,,,* LOC COMMAND,,,
1838,,CD36,8D,05,,,,,LOC,BSR,LCD3D,POINT X TO FILE BUFFER
1839,,CD38,EC,07,,,,,,LDD,"FCBREC,X",GET RECORD NUMBER (RANDOM FILE) OR SECTOR CTR (SEQUENTIAL)
1840,,CD3A,7E,B4,F4,,,,LCD3A,JMP,GIVABF,PUT ACCD IN FPA0
1841,,,,,,,,,,,,
1842,,,,,,,,,"* STRIP A DEVICE NUMBER FROM A BASIC STATEMENT, SET PRINT",,,
1843,,,,,,,,,* PARAMETERS ACCORDING TO IT - ERROR IF FILE NOT,,,
1844,,,,,,,,,* OPEN. RETURN WITH (X) POINTING TO THAT FILE'S FCB,,,
1845,,CD3D,96,6F,,,,,LCD3D,LDA,DEVNUM,* GET CURRENT DEVICE NUMBER AND
1846,,CD3F,34,02,,,,,,PSHS,A,* SAVE IT ON THE STACK
1847,,CD41,BD,B1,43,,,,,JSR,LB143,'TM' ERROR IF VALTYP=STRING
1848,,CD44,BD,A5,AE,,,,,JSR,LA5AE,CHECK FOR VALID DEVICE NUMBER/SET PRINT PARAMETERS
1849,,CD47,0D,6F,,,,,,TST,DEVNUM,* CHECK DEVICE NUMBER
1850,,CD49,10,2F,E6,FD,,,,LBLE,LB44A,* BRANCH IF NOT DISK FILE 'ILLEGAL FUNCTION CALL'
1851,,CD4D,BD,C7,14,,,,,JSR,LC714,POINT (X) TO FILE BUFFER
1852,,CD50,35,02,,,,,,PULS,A,* GET OLD DEVICE NUMBER OFF OF THE STACK AND
1853,,CD52,97,6F,,,,,,STA,DEVNUM,* SAVE IT AS DEVICE NUMBER
1854,,CD54,6D,00,,,,,,TST,"FCBTYP,X",IS FILE OPEN?
1855,,CD56,10,27,D6,A1,,,,LBEQ,LA3FB,'FILE NOT OPEN' ERROR IF NOT OPEN
1856,,CD5A,39,,,,,,,RTS,,
1857,,,,,,,,,,,,
1858,,,,,,,,,* LOF COMMAND,,,
1859,,CD5B,8D,E0,,,,,LOF,BSR,LCD3D,POINT X TO FILE BUFFER
1860,,CD5D,A6,01,,,,,,LDA,"FCBDRV,X",* GET DRIVE NUMBER AND SAVE IT
1861,,CD5F,97,EB,,,,,,STA,DCDRV,* IN DSKCON VARIABLE
1862,,CD61,E6,02,,,,,,LDB,"FCBFGR,X",GET FIRST GRANULE OF FILE
1863,,CD63,34,10,,,,,,PSHS,X,SAVE FCB POINTER ON STACK
1864,,CD65,BD,CC,44,,,,,JSR,LCC44,FIND TOTAL NUMBER OF GRANULES IN THIS FILE
1865,,CD68,4A,,,,,,,DECA,,SUBTRACT THE LAST GRANULE IN THE FILE
1866,,CD69,C4,3F,,,,,,ANDB,#$3F,GET NUMBER OF SECTORS USED IN LAST GRANULE
1867,,CD6B,34,04,,,,,,PSHS,B,SAVE NUMBER OF SECTORS IN LAST GRANULE ON STACK
1868,,CD6D,1F,89,,,,,,TFR,"A,B",* CONVERT ACCA TO POSITIVE
1869,,CD6F,4F,,,,,,,CLRA,,* 2 BYTE VALUE IN ACCD
1870,,CD70,BD,C7,49,,,,,JSR,LC749,MULT NUMBER OF FULL GRANULES BY 9
1871,,CD73,EB,E0,,,,,,ADDB,",S+",ADD NUMBER SECTORS IN LAST TRACK
1872,,CD75,89,00,,,,,,ADCA,#$00,PROPAGATE CARRY TO MS BYTE OF ACCD
1873,,CD77,35,10,,,,,,PULS,X,GET FCB POINTER BACK
1874,,CD79,34,02,,,,,,PSHS,A,SAVE ACCA ON STACK
1875,,CD7B,A6,00,,,,,,LDA,"FCBTYP,X",* GET FILE TYPE OF THIS FCB AND
1876,,CD7D,81,40,,,,,,CMPA,#RANFIL,* CHECK TO SEE IF IT'S A RANDOM FILE
1877,,CD7F,35,02,,,,,,PULS,A,RESTORE ACCA
1878,,CD81,26,B7,,,,,,BNE,LCD3A,"*IF NOT A RANDOM FILE, THEN THE TOTAL NUMBER OF SECTORS IN THE FILE"
1879,,,,,,,,,*,,,*IS THE LENGTH OF THE FILE
1880,,,,,,,,,,,,
1881,,,,,,,,,* CALCULATE LOF FOR A RANDOM FILE - THE LENGTH OF A RANDOM FILE IS THE,,,
1882,,,,,,,,,* NUMBER OF RECORDS IN THE FILE.,,,
1883,,CD83,34,10,,,,,,PSHS,X,SAVE FCB POINTER ON STACK
1884,,CD85,93,8A,,,,,,SUBD,ZERO,SUBTRACT ZERO FROM ACCD (NUMBER OF SECTORS)
1885,,CD87,27,03,,,,,,BEQ,LCD8C,BRANCH IF ZERO SECTORS
1886,,CD89,83,00,01,,,,,SUBD,#$0001,SUBTRACT ONE SECTOR - THE LAST SECTOR MAY NOT BE IOOZ USED
1887,,CD8C,8D,AC,,,,,LCD8C,BSR,LCD3A,PUT ACCD INTO FPA0
1888,,CD8E,D6,4F,,,,,,LDB,FP0EXP,GET EXPONENT OF FPA0
1889,,CD90,27,04,,,,,,BEQ,LCD96,BRANCH IF FPA0 = 0
1890,,CD92,CB,08,,,,,,ADDB,#$08,* ADD 8 TO EXPONENT (MULTIPLY FPA0 BY
1891,,CD94,D7,4F,,,,,,STB,FP0EXP,* 256 BYTES/SECTOR) AND SAVE NEW EXPONENT
1892,,CD96,BD,BC,5F,,,,LCD96,JSR,LBC5F,SAVE NUMBER OF BYTES IN FULL SECTORS IN FPA1
1893,,CD99,AE,E4,,,,,,LDX,",S",POINT X TO FCB
1894,,CD9B,EC,88,13,,,,,LDD,"FCBLST,X",GET NUMBER OF BYTES IN LAST SECTOR
1895,,CD9E,84,7F,,,,,,ANDA,#$7F,MASK OFF THE PRE-SAVED BYTE
1896,,CDA0,8D,98,,,,,,BSR,LCD3A,PUT NUMBER BYTES IN LAST SECTOR INTO FPA0
1897,,CDA2,0F,62,,,,,,CLR,RESSGN,FORCE SUM SIGN = POSITIVE
1898,,CDA4,96,5C,,,,,,LDA,FP1EXP,* GET EXPONENTS OF FPA0 AND
1899,,CDA6,D6,4F,,,,,,LDB,FP0EXP,* FPA1 PRIOR TO ADDITION
1900,,CDA8,BD,B9,C5,,,,,JSR,LB9C5,=ADD NUMBER BYTES IN LAST SECTOR TO NUMBER OF
1901,,,,,,,,,*,,,=BYTES IN FULL SECTORS
1902,,CDAB,BD,BC,5F,,,,,JSR,LBC5F,SAVE TOTAL NUMBER OF BYTES IN FPA1
1903,,CDAE,35,10,,,,,,PULS,X,POINT X TO FCB
1904,,CDB0,EC,09,,,,,,LDD,"FCBRLN,X",* GET RECORD LENGTH
1905,,CDB2,8D,86,,,,,,BSR,LCD3A,* PUT IT INTO FPA0
1906,,CDB4,0F,62,,,,,,CLR,RESSGN,FORCE QUOTIENT SIGN = POSITIVE
1907,,CDB6,96,5C,,,,,,LDA,FP1EXP,* GET EXPONENTS OF FPA0 AND
1908,,CDB8,D6,4F,,,,,,LDB,FP0EXP,* FPA1 PRIOR TO DIVISION
1909,,CDBA,BD,BB,91,,,,,JSR,LBB91,DIVIDE TOTAL NUMBER OF BYTES BY NUMBER OF BYTES IN A RECORD
1910,,CDBD,7E,BC,EE,,,,,JMP,INT,CONVERT FPA0 TO AN INTEGER
1911,,,,,,,,,,,,
1912,,,,,,,,,* FREE COMMAND,,,
1913,,CDC0,BD,B1,43,,,,FREE,JSR,LB143,* NUMBER TYPE CHECK
1914,,CDC3,BD,B7,0E,,,,,JSR,LB70E,*EVALUATE NUMERIC EXPRESSION AND RETURN VALUE IN ACCB
1915,,CDC6,C1,03,,,,,,CMPB,#$03,ONLY 4 LEGAL DRIVES
1916,,CDC8,10,22,D8,53,,,,LBHI,LA61F,'DEVICE NUMBER' ERROR IF DRIVE NUMBER IS > 3
1917,,CDCC,D7,EB,,,,,,STB,DCDRV,SAVE IN DRIVE NUMBER
1918,,CDCE,BD,C7,6D,,,,,JSR,LC76D,GET FILE ALLOCATION TABLE AND STORE IN BUFFER
1919,,CDD1,BD,C7,25,,,,,JSR,LC725,POINT X TO START OF FILE ALLOCATION TABLE BUFFER
1920,,CDD4,30,06,,,,,,LEAX,"FATCON,X",MOVE TO FIRST GRANULE DATA BYTE
1921,,CDD6,6F,E2,,,,,,CLR,",-S",SPACE FOR FREE GRANULE COUNTER
1922,,CDD8,C6,44,,,,,,LDB,#GRANMX,GET MAXIMUM NUMBER OF GRANULES
1923,,CDDA,A6,80,,,,,LCDDA,LDA,",X+",GET GRANULE DATA
1924,,CDDC,43,,,,,,,COMA,,*FREE GRANULES $FF
1925,,CDDD,26,02,,,,,,BNE,LCDE1,*BRANCH IF NOT FREE
1926,,CDDF,6C,E4,,,,,,INC,",S",INCREMENT FREE GRANULE COUNTER
1927,,CDE1,5A,,,,,,LCDE1,DECB,,DECREMENT GRANULE COUNTER
1928,,CDE2,26,F6,,,,,,BNE,LCDDA,BRANCH IF NOT DONE
1929,,CDE4,35,04,,,,,,PULS,B,GET FREE GRANULE COUNTER TO ACCB
1930,,CDE6,7E,B4,F3,,,,,JMP,LB4F3,LOAD ACCB INTO FPA0
1931,,,,,,,,,,,,
1932,,,,,,,,,* DRIVE COMMAND,,,
1933,,CDE9,BD,B7,0B,,,,DRIVE,JSR,EVALEXPB,EVALUATE EXPR; RETURN VALUE IN ACCB
1934,,CDEC,C1,03,,,,,,CMPB,#$03,MAX DRIVE NUMBER = 3
1935,,CDEE,10,22,D8,2D,,,,LBHI,LA61F,'DEVICE #' ERROR IF DRIVE NUMBER > 3
1936,,CDF2,F7,09,5A,,,,,STB,DEFDRV,SAVE DEFAULT DRIVE NUMBER
1937,,CDF5,39,,,,,,,RTS,,
1938,,,,,,,,,,,,
1939,,,,,,,,,* EVALUATE EXPRESSION RAM VECTOR,,,
1940,,CDF6,A6,64,,,,,DVEC15,LDA,"$04,S",= CHECK STACKED PRECEDENCE FLAG AND IF IT IS NOT AN END
1941,,CDF8,26,13,,,,,,BNE,LCE0D,"= OF OPERATION, BRANCH TO EXTENDED BASIC'S EXPRESSION"
1942,,,,,,,,,*,,,= EVALUATION ROUTINE
1943,,CDFA,AE,65,,,,,,LDX,"$05,S",*
1944,,CDFC,8C,AF,9A,,,,,CMPX,#LAF9A,*
1945,,CDFF,26,0C,,,,,,BNE,LCE0D,* CHECK TWO RETURN ADDRESSES BACK ON THE STACK
1946,,CE01,AE,62,,,,,,LDX,"$02,S",* TO SEE IF THE CALL TO EVALUATE EXPRESSION IS
1947,,CE03,8C,B1,66,,,,,CMPX,#LB166,* COMING FROM THE 'LET' COMMAND - BRANCH OUT IF
1948,,CE06,26,05,,,,,,BNE,LCE0D,* NOT COMING FROM 'LET'
1949,,CE08,8E,CE,10,,,,,LDX,#LCE10,"= IF COMING FROM 'LET', REPLACE THE RETURN ADDR"
1950,,CE0B,AF,65,,,,,,STX,"$05,S",= WITH THE DISK BASIC 'LET' MODIFIER ADDRESS
1951,,CE0D,7E,88,46,,,,LCE0D,JMP,XVEC15,EXTENDED BASIC EXPRESSION EVALUATION
1952,,,,,,,,,,,,
1953,,,,,,,,,* LET MODIFIER,,,
1954,,CE10,35,02,,,,,LCE10,PULS,A,PULL VARIABLE TYPE OFF OF THE STACK
1955,,CE12,46,,,,,,,RORA,,"SET CARRY IF SIRING, CLEAR CARRY IF NUMERIC"
1956,,CE13,BD,B1,48,,,,,JSR,LB148,DO A 'TM' CHECK
1957,,CE16,10,27,EE,19,,,,LBEQ,LBC33,"IF NUMERIC VARIABLE, PACK FPA0 INTO VARDES"
1958,,CE1A,9E,52,,,,,,LDX,FPA0+2,POINT X TO STRING DESCRIPTOR
1959,,CE1C,EC,02,,,,,,LDD,"$02,X",GET ADDRESS OF SIRING
1960,,CE1E,10,83,09,89,,,,CMPD,#DFLBUF,* COMPARE TO START OF RANDOM FILE BUFFERS
1961,,CE22,25,07,,,,,,BLO,LCE2B,* AND BRANCH IF LOWER
1962,,CE24,B3,09,4A,,,,,SUBD,FCBADR,SUBTRACT OUT THE END OF RANDOM FILE BUFFERS
1963,,CE27,10,25,E1,86,,,,LBCS,LAFB1,*BRANCH IF STRING STORED IN RANDOM FILE BUFFER -
1964,,,,,,,,,*,,,*MOVE IT INTO THE STRING SPACE
1965,,CE2B,7E,AF,A4,,,,LCE2B,JMP,LAFA4,BRANCH BACK TO BASIC’S 'LET' COMMAND
1966,,,,,,,,,,,,
1967,,,,,,,,,*MODIFIER FOR EXBAS COMMAND INTERPRETATION HANDLER,,,
1968,,CE2E,81,CA,,,,,DXCVEC,CMPA,#$CA,TOKEN FOR DLOAD?
1969,,CE30,27,1C,,,,,,BEQ,LCE4E,YES
1970,,CE32,81,C8,,,,,,CMPA,#$C8,TOKEN FOR PMODE?
1971,,CE34,10,26,B3,04,,,,LBNE,L813C,NO
1972,,,,,,,,,* DISK BASIC MODIFIER FOR PMODE - ALLOWS FOR THE RAM THE DOS USES,,,
1973,,CE38,9D,9F,,,,,,JSR,GETNCH,GET NEXT CHARACTER FROM BASIC
1974,,CE3A,81,2C,,,,,,CMPA,"#','",CHECK FOR COMMA
1975,,CE3C,10,27,C8,10,,,,LBEQ,L9650,BRANCH IF COMMA
1976,,CE40,BD,B7,0B,,,,,JSR,EVALEXPB,EVALUATE EXPRESSION; RETURN VALUE IN ACCB
1977,,CE43,C1,04,,,,,,CMPB,#$04,CHECK FOR PMODE 4
1978,,CE45,10,22,E6,01,,,,LBHI,LB44A,'FC' ERROR IF PMODE > 4
1979,,CE49,96,BC,,,,,,LDA,GRPRAM,NUMBER BLOCKS BEFORE GRAPHICS PAGES
1980,,CE4B,7E,96,2E,,,,,JMP,L962E,JUMP TO EXEAS' PMODE COMMAND
