2401,,D184,27,08,,,,,,BEQ,LD18E,BRANCH IF END OF LINE
2402,,D186,C6,A5,,,,,,LDB,#$A5,TOKEN FOR 'TO'
2403,,D188,BD,B2,6F,,,,,JSR,LB26F,SYNTAX CHECK FOR 'TO'
2404,>,D18B,BD,D1,69,,,,,JSR,LD169,GET DESTINATION DRIVE NUMBER
2405,,D18E,10,CE,06,FF,,,LD18E,LDS,#DBUF0+255,PUT STACK AT TOP OF DBUF0
2406,,D192,34,04,,,,,,PSHS,B,SAVE DESTINATION DRIVE NUMBER ON STACK
2407,,D194,BD,A5,C7,,,,,JSR,LA5C7,SYNTAX ERROR IF NOT END OF LINE
2408,,D197,BD,CA,3B,,,,,JSR,DVEC7,CLOSE ALL FILES
2409,,D19A,6F,E2,,,,,,CLR,",-S",CLEAR A TRACK COUNTER ON STACK
2410,,D19C,8E,09,88,,,,,LDX,#DFLBUF-1,POINT X TO TOP OF DISK RAM VARIABLES
2411,,D19F,6C,E4,,,,,LD19F,INC,",S",INCREMENT TRACK COUNTER
2412,,D1A1,30,89,12,00,,,,LEAX,"SECMAX*SECLEN,X",INCREMENT X BY ONE TRACK
2413,,D1A5,9C,27,,,,,,CMPX,MEMSIZ,COMPARE TO TOP OF NON RESERVED RAN
2414,,D1A7,23,F6,,,,,,BLS,LD19F,KEEP GOING IF MORE FREE RAM LEFT
2415,,D1A9,6A,E4,,,,,,DEC,",S",DECREMENT TRACK COUNTER
2416,,D1AB,10,27,DA,95,,,,LBEQ,LAC44,'OM' ERROR IF < 1 TRACK OF FREE RAM
2417,,D1AF,86,23,,,,,,LDA,#TRKMAX,GET MAXIMUM NUMBER OF TRACKS — INITIALIZE REMAINING TRACKS CTR
2418,,D1B1,5F,,,,,,,CLRB,,INITIALIZE TRACKS WRITTEN COUNTER TO ZERO
2419,,D1B2,34,06,,,,,,PSHS,"B,A",SAVE TRACKS WRITTEN AND REMAINING COUNTERS ON STACK
2420,,,,,,,,,,,,
2421,,,,,,,,,* AT THIS POINT THE STACK HAS THE FOLLOWING DATA ON IT:,,,
2422,,,,,,,,,"* ,S = TRACKS REMAINING COUNTER; 1,S = TRACKS WRITTEN COUNTER",,,
2423,,,,,,,,,"* 2,S = NUMBER OF TRACKS WHICH FIT IN RAM; 3,S = DESTINATION DRIVE NUMBER",,,
2424,,,,,,,,,"* 4,S = SOURCE DRIVE NUMBER",,,
2425,,D1B4,73,09,5C,,,,,COM,DRESFL,SET THE DISK RESET FLAG TO CAUSE A RESET
2426,,D1B7,5F,,,,,,LD1B7,CLRB,,INITIALIZE WRITE TRACK COUNTER TO ZERO
2427,,D1B8,5C,,,,,,LD1B8,INCB,,ADD ONE TO WRITE TRACK COUNTER
2428,,D1B9,6A,E4,,,,,,DEC,",S",* DECREMENT REMAINING TRACKS COUNTER
2429,,D1BB,27,04,,,,,,BEQ,LD1C1,* AND BRANCH IF NO TRACKS LEFT
2430,,D1BD,E1,62,,,,,,CMPB,"$02,S",= COMPARE WRITE TRACK COUNTER TO NUMBER OF TRACKS THAT
2431,,D1BF,26,F7,,,,,,BNE,LD1B8,= WILL FIT IN RAM AND BRANCH IF ROOM FOR MORE TRACKS IN RAM
2432,,D1C1,D7,03,,,,,LD1C1,STB,TMPLOC,SAVE THE NUMBER OF TRACKS TO BE TRANSFERRED
2433,,D1C3,E6,64,,,,,,LDB,"$04,S",GET SOURCE DRIVE NUMBER
2434,,D1C5,8D,48,,,,,,BSR,LD20F,FILL RAM BUFFER WITH TMPLOC TRACKS OF DATA
2435,,D1C7,86,FF,,,,,,LDA,#$FF,SET SOURCE/DESTINATION FLAG TO DESTINATION
2436,>,D1C9,BD,D2,35,,,,,JSR,LD235,PRINT PROMPT MESSAGE IF NEEDED
2437,,D1CC,E6,63,,,,,,LDB,"$03,S",GET DESTINATION DRIVE NUMBER
2438,,D1CE,8D,42,,,,,,BSR,LD212,WRITE TMPLOC TRACKS FROM BUFFER
2439,,D1D0,6D,E4,,,,,,TST,",S",TEST TRACKS REMAINING FLAG
2440,,D1D2,27,0C,,,,,,BEQ,LD1E0,BRANCH IF BACKUP DONE
2441,,D1D4,4F,,,,,,,CLRA,,SET SOURCE/DESTINATION FLAG TO SOURCE
2442,>,D1D5,BD,D2,35,,,,,JSR,LD235,PRINT PROMPT MESSAGE IF NEEDED
2443,,D1D8,E6,61,,,,,,LDB,"$01,S","* GET THE TRACKS WRITTEN COUNTER, ADD THE NUMBER OF"
2444,,D1DA,DB,03,,,,,,ADDB,TMPLOC,* TRACKS MOVED THIS TIME THROUGH LOOP AND
2445,,D1DC,E7,61,,,,,,STB,"$01,S",* SAVE THE NEW TRACKS WRITTEN COUNTER
2446,,D1DE,20,D7,,,,,,BRA,LD1B7,COPY SOME MORE TRACKS
2447,,,,,,,,,,,,
2448,,D1E0,8D,03,,,,,LD1E0,BSR,LD1E5,CHECK FOR DOS INITIALIZATION
2449,,D1E2,7E,AC,73,,,,,JMP,LAC73,JUMP BACK TO BASIC’S MAIN LOOP
2450,,,,,,,,,,,,
2451,,D1E5,35,40,,,,,LD1E5,PULS,U,PUT THE RETURN ADDRESS IN U
2452,,D1E7,B6,09,5C,,,,,LDA,DRESFL,TEST DISK RESET FLAG
2453,,D1EA,27,16,,,,,,BEQ,LD202,DON’T RESET THE DOS IF FLAG NOT SET
2454,,D1EC,8E,09,28,,,,,LDX,#FCBV1,POINT X TO TABLE OF FCB ADDRESSES
2455,,D1EF,4F,,,,,,,CLRA,,SET FILE COUNTER TO ZERO
2456,,D1F0,6F,91,,,,,LD1F0,CLR,"[,X++]",MARK FCB AS CLOSED
2457,,D1F2,4C,,,,,,,INCA,,ADD ONE TO FILE COUNTER
2458,,D1F3,B1,09,5B,,,,,CMPA,FCBACT,COMPARE TO NUMBER OF RESERVED FILES
2459,,D1F6,23,F8,,,,,,BLS,LD1F0,BRANCH IF ANY FILES NOT SHUT DOWN
2460,,D1F8,9E,19,,,,,,LDX,TXTTAB,LOAD X WITH THE START OF BASIC
2461,,D1FA,6F,1F,,,,,,CLR,"-1,X",SET FIRST BYTE OF BASIC PROGRAM TO ZERO
2462,,D1FC,BD,AD,19,,,,,JSR,LAD19,GO DO A 'NEW'
2463,,D1FF,7F,09,5C,,,,,CLR,DRESFL,RESET THE DOS RESET FLAG
2464,,D202,B6,09,5D,,,,LD202,LDA,DLODFL,* CHECK THE LOAD RESET FLAG AND
2465,,D205,27,06,,,,,,BEQ,LD20D,* BRANCH IF NOT SET
