4201,,9EBD,AF,C4,,,,,,STX,",U",SAVE RADIUS
4202,,9EBF,BD,93,20,,,,,JSR,L9320,NORMALIZE RADIUS
4203,,9EC2,86,01,,,,,,LDA,#$01,SET TO PSET
4204,,9EC4,97,C2,,,,,,STA,SETFLG,SAVE PSET/PRESET FLAG
4205,,9EC6,BD,95,81,,,,,JSR,L9581,GO EVALUATE COLOR EXPRESSION AND SAVE IN WCOLOR
4206,,9EC9,8E,01,00,,,,,LDX,#$100,HEIGHT/WIDTH RATIO DEFAULT VALUE
4207,,9ECC,9D,A5,,,,,,JSR,GETCCH,GET AN INPUT CHARACTER FROM BASIC
4208,,9ECE,27,0F,,,,,,BEQ,L9EDF,BRANCH IF NONE
4209,,9ED0,BD,B2,6D,,,,,JSR,SYNCOMMA,SYNTAX CHECK FOR COMMA
4210,,9ED3,BD,B1,41,,,,,JSR,LB141,EVALUATE EXPRESSION
4211,,9ED6,96,4F,,,,,,LDA,FP0EXP,"*GET FPA0 EXPONENT, ADD 8 TO IT AND RESAVE IT - THIS"
4212,,9ED8,8B,08,,,,,,ADDA,#$08,*WILL EFFECTIVELY MULTIPLY FPA0 BY 256.
4213,,9EDA,97,4F,,,,,,STA,FP0EXP,*
4214,,9EDC,BD,B7,40,,,,,JSR,LB740,"EVALUATE EXPRESSION, RETURN VALUE IN X"
4215,,9EDF,96,B6,,,,,L9EDF,LDA,PMODE,GET CURRENT PMODE VALUE
4216,,9EE1,85,02,,,,,,BITA,#$02,"TEST FOR PMODE 0,1,4"
4217,,9EE3,27,04,,,,,,BEQ,L9EE9,BRANCH IF SO
4218,,9EE5,1F,10,,,,,,TFR,"X,D","* MULT X BY 2 -FOR PMODES 2,3 THE HOR PIXELS ARE 2X AS LONG AS"
4219,,9EE7,30,8B,,,,,,LEAX,"D,X","* PMODES 0,1,4; MULT HW RATIO BY 2 TO COMPENSATE"
4220,,9EE9,9F,D1,,,,,L9EE9,STX,VD1,SAVE HW RATIO
4221,,9EEB,C6,01,,,,,,LDB,#$01,*
4222,,9EED,D7,C2,,,,,,STB,SETFLG,*SET PSET/PRESET FLAG TO PSET
4223,,9EEF,D7,D8,,,,,,STB,VD8,FIRST TIME FLAG - SET TO 0 AFTER ARC DRAWN
4224,,9EF1,BD,9F,E2,,,,,JSR,L9FE2,"EVALUATE CIRCLE START POINT (OCTANT, SUBARC)"
4225,,9EF4,34,06,,,,,,PSHS,"B,A",SAVE START POINT
4226,,9EF6,BD,9F,E2,,,,,JSR,L9FE2,"EVALUATE CIRCLE END POINT (OCTANT, SUBARC)"
4227,,9EF9,DD,D9,,,,,,STD,VD9,SAVE END POINT
4228,,9EFB,35,06,,,,,,PULS,"A,B",GET START POINT
4229,,9EFD,34,06,,,,,L9EFD,PSHS,"B,A",STORE CURRENT CIRCLE POSITION
4230,,9EFF,9E,C3,,,,,,LDX,HOREND,"* MOVE HOR, VER COORDS FROM HOREND,VEREND TO"
4231,,9F01,9F,BD,,,,,,STX,HORBEG,"* HORBEG, VERBEG R MOVE OLD END COORDINATES"
4232,,9F03,9E,C5,,,,,,LDX,VEREND,* NEW START COORDINATES
4233,,9F05,9F,BF,,,,,,STX,VERBEG,*
4234,,9F07,CE,9E,7B,,,,,LDU,#L9E79+2,POINT TO TABLE OF SINES & COSINES
4235,,9F0A,84,01,,,,,,ANDA,#$01,=GET OCTANT NUMBER
4236,,9F0C,27,03,,,,,,BEQ,L9F11,=BRANCH IF EVEN
4237,,9F0E,50,,,,,,,NEGB,,*
4238,,9F0F,CB,08,,,,,,ADDB,#$08,*CONVERT 0-7 TO 8-1 FOR ODD OCTANT NUMBERS
4239,,9F11,58,,,,,,L9F11,ASLB,,=
4240,,9F12,58,,,,,,,ASLB,,=FOUR BYTES/TABLE ENTRY
4241,,9F13,33,C5,,,,,,LEAU,"B,U",POINT U TO CORRECT TABLE ENTRY
4242,,9F15,34,40,,,,,,PSHS,U,SAVE SIN/COS TABLE ENTRY
4243,,9F17,BD,9F,A7,,,,,JSR,L9FA7,CALCULATE HORIZ OFFSET
4244,,9F1A,35,40,,,,,,PULS,U,GET SIN/COS TABLE PTR
4245,,9F1C,33,5E,,,,,,LEAU,"$-02,U",MOVE TO COSINE (VERT)
4246,,9F1E,34,10,,,,,,PSHS,X,SAVE HORIZ OFFSET
4247,,9F20,BD,9F,A7,,,,,JSR,L9FA7,CALCULATE VERT OFFSET
4248,,9F23,35,20,,,,,,PULS,Y,PUT HORIZ OFFSET IN Y
4249,,9F25,A6,E4,,,,,,LDA,",S",*
4250,,9F27,84,03,,,,,,ANDA,#$03,*
4251,,9F29,27,06,,,,,,BEQ,L9F31,"*BRANCH IF OCTANT 0,3,4,7"
4252,,9F2B,81,03,,,,,,CMPA,#$03,*
4253,,9F2D,27,02,,,,,,BEQ,L9F31,"*BRANCH IF OCTANT 0,3,4,7"
4254,,9F2F,1E,12,,,,,,EXG,"X,Y",SWAP HOR AND VERT OFFSETS
4255,,9F31,9F,C3,,,,,L9F31,STX,HOREND,SAVE HORIZ OFFSET
4256,,,,,,,,,* THE HW RATIO WILL ONLY MODIFY THE VERT COORD,,,
4257,,9F33,1F,21,,,,,,TFR,"Y,X",LOAD X WITH THE CALCULATED VERT OFFSET
4258,,9F35,DC,D1,,,,,,LDD,VD1,GET HW RATIO
4259,>,9F37,BD,9F,B5,,,,,JSR,L9FB5,MULT VERT OFFSET BY HW RATIO
4260,,9F3A,1F,20,,,,,,TFR,"Y,D",TRANSFER THE PRODUCT TO ACCD
4261,,9F3C,4D,,,,,,,TSTA,,CHECK OVERFLOW FLAG AND GET MSB RESULT
4262,,9F3D,10,26,15,09,,,,LBNE,LB44A,‘FC’ ERROR IF RESULT > 255
4263,,9F41,D7,C5,,,,,,STB,VEREND,SAVE DELTA VER MBS
4264,,9F43,1F,30,,,,,,TFR,"U,D",LSB RESULT TO ACCA
4265,,9F45,97,C6,,,,,,STA,VEREND+1,SAVE DELTA VER LSB
4266,,9F47,A6,E4,,,,,,LDA,",S",*
4267,,9F49,81,02,,,,,,CMPA,#$02,"* BRANCH IF OCTANT = 0,1,6,7 (SUBARC HOR END"
4268,,9F4B,25,0E,,,,,,BLO,L9F5B,* POINT >= HOR CENTER)
