3601,,9A6D,81,56,,,,,L9A6D,CMPA,#'V',ADJUST VOLUME?
3602,,9A6F,26,1A,,,,,,BNE,L9A8B,NO
3603,,9A71,D6,DF,,,,,,LDB,VOLHI,GET CURRENT HIGH VOLUME LIMIT
3604,,9A73,54,,,,,,,LSRB,,*SHIFT 2 BITS TO RIGHT; DA IS ONLY 6 BITS (BIT 2 - BIT 7) -
3605,,9A74,54,,,,,,,LSRB,,*TO MANIPULATE THE DATA IT MUST BE IN BITS 0-5
3606,,9A75,C0,1F,,,,,,SUBB,#31,SUBTRACT OUT MID VALUE OFFSET
3607,,9A77,8D,47,,,,,,BSR,L9AC0,MODIFIER CHECK
3608,,9A79,C1,1F,,,,,,CMPB,#31,MAXIMUM ALLOWED RANGE IS 31
3609,,9A7B,22,50,,,,,,BHI,L9ACD,‘FC’ ERROR
3610,,9A7D,58,,,,,,,ASLB,,*
3611,,9A7E,58,,,,,,,ASLB,,*MOVE NEW VALUE BACK TO BITS 2-7
3612,,9A7F,34,04,,,,,,PSHS,B,SAVE NEW VOLUME ON THE STACK
3613,,9A81,CC,7E,7E,,,,,LDD,#$7E7E,PUT MID VALUE IN HIGH AND LOW LIMIT
3614,,9A84,AB,E4,,,,,,ADDA,",S",ADD NEW VOLUME TO HIGH LIMIT
3615,,9A86,E0,E0,,,,,,SUBB,",S+",SUBTR NEW VOLUME FROM LOW LIMIT
3616,,9A88,DD,DF,,,,,,STD,VOLHI,SAVE NEW VOLUME LIMITS
3617,,9A8A,39,,,,,,,RTS,,
3618,,,,,,,,,* NOTE LENGTH,,,
3619,,9A8B,81,4C,,,,,L9A8B,CMPA,#'L',SET NOTE LENGTH?
3620,,9A8D,26,23,,,,,,BNE,L9AB2,NO
3621,,9A8F,D6,E1,,,,,,LDB,NOTELN,GET CURRENT LENGTH
3622,,9A91,8D,2D,,,,,,BSR,L9AC0,MODIFIER CHECK
3623,,9A93,5D,,,,,,,TSTB,,*
3624,,9A94,27,37,,,,,,BEQ,L9ACD,* ‘FC’ ERROR IF LENGTH = 0
3625,,9A96,D7,E1,,,,,,STB,NOTELN,SAVE NEW NOTE LENGTH
3626,,9A98,0F,E5,,,,,,CLR,DOTVAL,RESET NOTE TIMER SCALE FACTOR
3627,,9A9A,8D,03,,,,,L9A9A,BSR,L9A9F,CHECK FOR A DOTTED NOTE
3628,,9A9C,24,FC,,,,,,BCC,L9A9A,BRANCH IF DOTTED NOTE
3629,,9A9E,39,,,,,,,RTS,,
3630,,,,,,,,,* SCALE FACTOR - ‘DOTTED NOTE’,,,
3631,,9A9F,0D,D8,,,,,L9A9F,TST,VD8,CHECK COMMAND LENGTH
3632,,9AA1,27,0A,,,,,,BEQ,L9AAD,IT’S EMPTY
3633,,9AA3,BD,9B,98,,,,,JSR,L9B98,GET COMMAND CHARACTER
3634,,9AA6,81,2E,,,,,,CMPA,#'.',CHECK FOR DOTTED NOTE
3635,,9AA8,27,05,,,,,,BEQ,L9AAF,BRANCH ON DOTTED NOTE AND CLEAR CARRY FLAG
3636,,9AAA,BD,9B,E2,,,,,JSR,L9BE2,*MOVE COMMAND STRING POINTER BACK ONE AND ADD ONE TO
3637,,,,,,,,,,,,*COMMAND LENGTH
3638,,9AAD,43,,,,,,L9AAD,COMA,,SET CARRY FLAG
3639,,9AAE,39,,,,,,,RTS,,
3640,,9AAF,0C,E5,,,,,L9AAF,INC,DOTVAL,ADD ONE TO NOTE TIMER SCALE FACTOR
3641,,9AB1,39,,,,,,,RTS,,
3642,,,,,,,,,* TEMPO,,,
3643,,9AB2,81,54,,,,,L9AB2,CMPA,#'T',MODIFY TEMPO?
3644,,9AB4,26,0D,,,,,,BNE,L9AC3,NO
3645,,9AB6,D6,E2,,,,,,LDB,TEMPO,GET CURRENT TEMPO
3646,,9AB8,8D,06,,,,,,BSR,L9AC0,EVALUATE MODIFIER
3647,,9ABA,5D,,,,,,,TSTB,,SET FLAGS
3648,,9ABB,27,10,,,,,,BEQ,L9ACD,‘FC’ ERROR IF IT’S 0
3649,,9ABD,D7,E2,,,,,,STB,TEMPO,SAVE NEW TEMPO
3650,,9ABF,39,,,,,,,RTS,,
3651,,9AC0,7E,9B,AC,,,,L9AC0,JMP,L9BAC,"EVALUATE THE >,<,+,-,= OPERATORS"
3652,,,,,,,,,* PAUSE,,,
3653,,9AC3,81,50,,,,,L9AC3,CMPA,#'P',PAUSE COMMAND?
3654,,9AC5,26,24,,,,,,BNE,L9AEB,NO
3655,,9AC7,BD,9C,CB,,,,,JSR,L9CCB,EVALUATE A DECIMAL COMMAND STRING VALUE
